feature,mean_abs_shap
pH__std,42.169655
DO_pct__max,7.4340334
temperature_C__std,4.576948
agitation_rpm__max,3.1677969
agitation_rpm__slope,3.0509982
feed_rate_A_mL_h__mean,2.6374733
pH__slope,1.613405
DO_pct__std,1.3577911
viability_pct__min,1.353486
pH__mean,1.337574
temperature_C__min,1.2930309
temperature_C__max,1.1749914
feed_rate_B_mL_h__min,1.0960697
pH__max,0.9466152
agitation_rpm__min,0.8529498
feed_rate_A_mL_h__std,0.84343624
pH__min,0.7842797
lactate_g_L__slope,0.74373186
DO_pct__mean,0.738737
lactate_g_L__std,0.70665294
viability_pct__std,0.6134613
lactate_g_L__mean,0.5671798
DO_pct__min,0.5488559
temperature_C__mean,0.54783666
lactate_g_L__max,0.4922703
DO_pct__slope,0.41888618
feed_rate_A_mL_h__min,0.4131442
lactate_g_L__auc,0.36401176
glucose_g_L__slope,0.32699284
VCD_e6_mL__mean,0.3241976
temperature_C__slope,0.30775902
viability_pct__mean,0.25019422
feed_rate_A_mL_h__slope,0.23626614
agitation_rpm__std,0.22701576
glucose_g_L__min,0.20504758
agitation_rpm__mean,0.19852264
feed_rate_B_mL_h__max,0.1905311
glucose_g_L__max,0.19043027
feed_rate_B_mL_h__slope,0.18441781
VCD_e6_mL__min,0.15807569
DO_pct__auc,0.15653284
feed_rate_A_mL_h__max,0.15438655
VCD_e6_mL__max,0.14619085
feed_rate_A_mL_h__auc,0.14550619
glucose_g_L__auc,0.14418396
VCD_e6_mL__slope,0.13593164
feed_rate_B_mL_h__std,0.1254701
viability_pct__slope,0.11663403
VCD_e6_mL__std,0.11656872
VCD_e6_mL__auc,0.11632101
glucose_g_L__std,0.1111609
glucose_g_L__mean,0.10688929
viability_pct__max,0.09297423
agitation_rpm__auc,0.09005307
feed_rate_B_mL_h__mean,0.08675124
pH__auc,0.08502735
temperature_C__auc,0.070130706
lactate_g_L__min,0.06274623
feed_rate_B_mL_h__auc,0.03576013
viability_pct__auc,0.025019983
